# . Text parameter file for the element F.

F    diatomicX      Sn     18.598663999999999  dimensionless
F    diatomicA      Sb      2.182922000000000  A^-1
F    diatomicX      Sb      0.650277000000000  dimensionless
F    diatomicA      Te      1.998576000000000  A^-1
F    diatomicX      Te      0.200822000000000  dimensionless
F    diatomicA      I       2.203580000000000  A^-1
F    diatomicX      I       0.392425000000000  dimensionless
F    diatomicA      Xe      1.128812000000000  A^-1
F    diatomicX      Xe      0.065011000000000  dimensionless
F    diatomicA      Cs      2.834100000000000  A^-1
F    diatomicX      Cs     22.233415999999998  dimensionless
F    diatomicA      Ba      3.000618000000000  A^-1
F    diatomicX      Ba      5.575255000000000  dimensionless
F    diatomicA      La      2.379335000000000  A^-1
F    diatomicX      La      2.401903000000000  dimensionless
F    diatomicA      Gd      1.497980000000000  A^-1
F    diatomicX      Gd      0.334630000000000  dimensionless
F    diatomicA      Hf      2.290803000000000  A^-1
F    diatomicX      Hf      1.679335000000000  dimensionless
F    diatomicA      Ta      3.107390000000000  A^-1
F    diatomicX      Ta      3.146520000000000  dimensionless
F    diatomicA      W       1.446050000000000  A^-1
F    diatomicX      W       0.213890000000000  dimensionless
F    diatomicA      Re      2.154219000000000  A^-1
F    diatomicX      Re      0.535966000000000  dimensionless
F    diatomicA      Os      1.507620000000000  A^-1
F    diatomicX      Os      0.140050000000000  dimensionless
F    diatomicA      Ir      2.982799000000000  A^-1
F    diatomicX      Ir      1.499639000000000  dimensionless
F    diatomicA      Pt      3.714441000000000  A^-1
F    diatomicX      Pt      5.617014000000000  dimensionless
F    diatomicA      Au      4.422519000000000  A^-1
F    diatomicX      Au      9.756399999999999  dimensionless
F    diatomicA      Hg      1.240572000000000  A^-1
F    diatomicX      Hg      0.113827000000000  dimensionless
F    diatomicA      Tl      1.469516000000000  A^-1
F    diatomicX      Tl      0.226166000000000  dimensionless
F    diatomicA      Pb      3.288902000000000  A^-1
F    diatomicX      Pb      8.368562000000001  dimensionless
F    diatomicA      Bi      2.355400000000000  A^-1
F    diatomicX      Bi      1.035324000000000  dimensionless
F    diatomicA      Fr      2.218810000000000  A^-1
F    diatomicX      Fr      1.012630000000000  dimensionless
