# . Text parameter file for the element S.

S    diatomicX      Sb      0.396969000000000  dimensionless
S    diatomicA      Te      1.830170000000000  A^-1
S    diatomicX      Te      0.943925000000000  dimensionless
S    diatomicA      I       1.855110000000000  A^-1
S    diatomicX      I       0.709929000000000  dimensionless
S    diatomicA      Cs      0.289412000000000  A^-1
S    diatomicX      Cs      0.091743000000000  dimensionless
S    diatomicA      Ba      0.705188000000000  A^-1
S    diatomicX      Ba      0.215386000000000  dimensionless
S    diatomicA      La      1.834129000000000  A^-1
S    diatomicX      La      2.682412000000000  dimensionless
S    diatomicA      Gd      2.003930000000000  A^-1
S    diatomicX      Gd      2.655400000000000  dimensionless
S    diatomicA      Hf      2.327110000000000  A^-1
S    diatomicX      Hf      1.666760000000000  dimensionless
S    diatomicA      Ta      2.246723000000000  A^-1
S    diatomicX      Ta      2.975980000000000  dimensionless
S    diatomicA      W       1.542570000000000  A^-1
S    diatomicX      W       0.488630000000000  dimensionless
S    diatomicA      Re      1.083919000000000  A^-1
S    diatomicX      Re      0.068874000000000  dimensionless
S    diatomicA      Os      2.809500000000000  A^-1
S    diatomicX      Os      4.186050000000000  dimensionless
S    diatomicA      Ir      3.204834000000000  A^-1
S    diatomicX      Ir      4.135732000000000  dimensionless
S    diatomicA      Pt      2.791500000000000  A^-1
S    diatomicX      Pt      2.224263000000000  dimensionless
S    diatomicA      Au      4.109006000000000  A^-1
S    diatomicX      Au     20.914308999999999  dimensionless
S    diatomicA      Hg      1.041682000000000  A^-1
S    diatomicX      Hg      0.347383000000000  dimensionless
S    diatomicA      Tl      0.994851000000000  A^-1
S    diatomicX      Tl      0.303426000000000  dimensionless
S    diatomicA      Pb      1.027519000000000  A^-1
S    diatomicX      Pb      0.175150000000000  dimensionless
S    diatomicA      Bi      1.466879000000000  A^-1
S    diatomicX      Bi      0.620997000000000  dimensionless
