# . Text parameter file for the element H.

H    diatomicX      Sn      6.535162000000000  dimensionless
H    diatomicA      Sb      1.571272000000000  A^-1
H    diatomicX      Sb      0.795343000000000  dimensionless
H    diatomicA      Te      2.039130000000000  A^-1
H    diatomicX      Te      1.807679000000000  dimensionless
H    diatomicA      I       2.139913000000000  A^-1
H    diatomicX      I       0.981898000000000  dimensionless
H    diatomicA      Xe      1.356861000000000  A^-1
H    diatomicX      Xe      0.701016000000000  dimensionless
H    diatomicA      Cs      0.264882000000000  A^-1
H    diatomicX      Cs      0.096901000000000  dimensionless
H    diatomicA      Ba      6.000135000000000  A^-1
H    diatomicX      Ba      2.040004000000000  dimensionless
H    diatomicA      La      0.833667000000000  A^-1
H    diatomicX      La      0.623501000000000  dimensionless
H    diatomicA      Gd      0.390870000000000  A^-1
H    diatomicX      Gd      0.135810000000000  dimensionless
H    diatomicA      Lu      1.415790000000000  A^-1
H    diatomicX      Lu      0.787920000000000  dimensionless
H    diatomicA      Hf      1.423788000000000  A^-1
H    diatomicX      Hf      3.427312000000000  dimensionless
H    diatomicA      Ta      2.288014000000000  A^-1
H    diatomicX      Ta      2.827669000000000  dimensionless
H    diatomicA      W       2.130880000000000  A^-1
H    diatomicX      W       1.832270000000000  dimensionless
H    diatomicA      Re      1.634500000000000  A^-1
H    diatomicX      Re      0.345894000000000  dimensionless
H    diatomicA      Os      3.404180000000000  A^-1
H    diatomicX      Os      4.393870000000000  dimensionless
H    diatomicA      Ir      1.033900000000000  A^-1
H    diatomicX      Ir      0.058047000000000  dimensionless
H    diatomicA      Pt      4.001198000000000  A^-1
H    diatomicX      Pt      8.924015000000001  dimensionless
H    diatomicA      Au      2.884762000000000  A^-1
H    diatomicX      Au      1.601508000000000  dimensionless
H    diatomicA      Hg      1.136587000000000  A^-1
H    diatomicX      Hg      0.799399000000000  dimensionless
H    diatomicA      Tl      0.673658000000000  A^-1
H    diatomicX      Tl      0.138205000000000  dimensionless
H    diatomicA      Pb      1.522676000000000  A^-1
H    diatomicX      Pb      0.840096000000000  dimensionless
H    diatomicA      Bi      1.679905000000000  A^-1
H    diatomicX      Bi      1.397462000000000  dimensionless
