# . Text parameter file for the element N.

N    diatomicX      Sn      1.391900000000000  dimensionless
N    diatomicA      Sb      0.676115000000000  A^-1
N    diatomicX      Sb      0.082065000000000  dimensionless
N    diatomicA      Te      1.722269000000000  A^-1
N    diatomicX      Te      0.358593000000000  dimensionless
N    diatomicA      I       1.677518000000000  A^-1
N    diatomicX      I       0.264903000000000  dimensionless
N    diatomicA      Xe      1.932952000000000  A^-1
N    diatomicX      Xe      0.925624000000000  dimensionless
N    diatomicA      Cs      2.446532000000000  A^-1
N    diatomicX      Cs     29.711077000000000  dimensionless
N    diatomicA      Ba      1.148233000000000  A^-1
N    diatomicX      Ba      0.207934000000000  dimensionless
N    diatomicA      La      0.758881000000000  A^-1
N    diatomicX      La      0.104778000000000  dimensionless
N    diatomicA      Gd      1.159410000000000  A^-1
N    diatomicX      Gd      0.205050000000000  dimensionless
N    diatomicA      Lu      2.141302000000000  A^-1
N    diatomicX      Lu      2.860828000000000  dimensionless
N    diatomicA      Hf      1.332410000000000  A^-1
N    diatomicX      Hf      0.655795000000000  dimensionless
N    diatomicA      Ta      2.053679000000000  A^-1
N    diatomicX      Ta      1.015461000000000  dimensionless
N    diatomicA      W       1.596040000000000  A^-1
N    diatomicX      W       0.478350000000000  dimensionless
N    diatomicA      Re      1.918332000000000  A^-1
N    diatomicX      Re      0.445213000000000  dimensionless
N    diatomicA      Os      1.143090000000000  A^-1
N    diatomicX      Os      0.080870000000000  dimensionless
N    diatomicA      Ir      3.934508000000000  A^-1
N    diatomicX      Ir      8.518640000000000  dimensionless
N    diatomicA      Pt      2.307923000000000  A^-1
N    diatomicX      Pt      0.540730000000000  dimensionless
N    diatomicA      Au      2.490602000000000  A^-1
N    diatomicX      Au      0.383148000000000  dimensionless
N    diatomicA      Hg      0.332152000000000  A^-1
N    diatomicX      Hg      0.050240000000000  dimensionless
N    diatomicA      Tl      0.982335000000000  A^-1
N    diatomicX      Tl      0.158812000000000  dimensionless
N    diatomicA      Pb      1.317394000000000  A^-1
N    diatomicX      Pb      0.335787000000000  dimensionless
N    diatomicA      Bi      1.143876000000000  A^-1
N    diatomicX      Bi      0.152738000000000  dimensionless
N    diatomicA      Fr      2.218810000000000  A^-1
N    diatomicX      Fr      1.012630000000000  dimensionless
