# . Text parameter file for the element Br.

Br   diatomicX      Ag      1.714369000000000  dimensionless
Br   diatomicA      Cd      1.001451000000000  A^-1
Br   diatomicX      Cd      0.272267000000000  dimensionless
Br   diatomicA      In      2.257957000000000  A^-1
Br   diatomicX      In      3.728598000000000  dimensionless
Br   diatomicA      Sn      1.535089000000000  A^-1
Br   diatomicX      Sn      0.668798000000000  dimensionless
Br   diatomicA      Sb      1.063916000000000  A^-1
Br   diatomicX      Sb      0.198044000000000  dimensionless
Br   diatomicA      Te      1.250940000000000  A^-1
Br   diatomicX      Te      0.394202000000000  dimensionless
Br   diatomicA      I       1.579376000000000  A^-1
Br   diatomicX      I       0.483054000000000  dimensionless
Br   diatomicA      Xe      1.439618000000000  A^-1
Br   diatomicX      Xe      0.475116000000000  dimensionless
Br   diatomicA      Cs      1.167189000000000  A^-1
Br   diatomicX      Cs      1.658427000000000  dimensionless
Br   diatomicA      Ba      1.190346000000000  A^-1
Br   diatomicX      Ba      0.828794000000000  dimensionless
Br   diatomicA      La      0.758184000000000  A^-1
Br   diatomicX      La      0.238582000000000  dimensionless
Br   diatomicA      Gd      0.715810000000000  A^-1
Br   diatomicX      Gd      0.240740000000000  dimensionless
Br   diatomicA      Lu      2.322618000000000  A^-1
Br   diatomicX      Lu      8.648274000000001  dimensionless
Br   diatomicA      Hf      1.090759000000000  A^-1
Br   diatomicX      Hf      0.692456000000000  dimensionless
Br   diatomicA      Ta      1.640376000000000  A^-1
Br   diatomicX      Ta      0.791445000000000  dimensionless
Br   diatomicA      W       1.293260000000000  A^-1
Br   diatomicX      W       0.372390000000000  dimensionless
Br   diatomicA      Re      1.603060000000000  A^-1
Br   diatomicX      Re      0.287528000000000  dimensionless
Br   diatomicA      Os      1.766880000000000  A^-1
Br   diatomicX      Os      0.382430000000000  dimensionless
Br   diatomicA      Ir      2.038142000000000  A^-1
Br   diatomicX      Ir      0.171879000000000  dimensionless
Br   diatomicA      Pt      2.185307000000000  A^-1
Br   diatomicX      Pt      0.520361000000000  dimensionless
Br   diatomicA      Au      0.984642000000000  A^-1
Br   diatomicX      Au      0.012598000000000  dimensionless
Br   diatomicA      Hg      0.638717000000000  A^-1
Br   diatomicX      Hg      0.172363000000000  dimensionless
Br   diatomicA      Tl      0.874419000000000  A^-1
Br   diatomicX      Tl      0.296836000000000  dimensionless
Br   diatomicA      Pb      0.865550000000000  A^-1
Br   diatomicX      Pb      0.148229000000000  dimensionless
Br   diatomicA      Bi      1.146233000000000  A^-1
Br   diatomicX      Bi      0.381170000000000  dimensionless
