# . Text parameter file for the element Cl.

Cl   diatomicA      Rh      3.300130000000000  A^-1
Cl   diatomicX      Rh      3.586865000000000  dimensionless
Cl   diatomicA      Pd      3.871243000000000  A^-1
Cl   diatomicX      Pd      2.969891000000000  dimensionless
Cl   diatomicA      Ag      4.441176000000000  A^-1
Cl   diatomicX      Ag     23.765459000000000  dimensionless
Cl   diatomicA      Cd      0.943547000000000  A^-1
Cl   diatomicX      Cd      0.140424000000000  dimensionless
Cl   diatomicA      In      2.233405000000000  A^-1
Cl   diatomicX      In      2.388552000000000  dimensionless
Cl   diatomicA      Sn      1.771522000000000  A^-1
Cl   diatomicX      Sn      0.807782000000000  dimensionless
Cl   diatomicA      Sb      1.117287000000000  A^-1
Cl   diatomicX      Sb      0.156475000000000  dimensionless
Cl   diatomicA      Te      1.300260000000000  A^-1
Cl   diatomicX      Te      0.285478000000000  dimensionless
Cl   diatomicA      I       1.574161000000000  A^-1
Cl   diatomicX      I       0.310474000000000  dimensionless
Cl   diatomicA      Xe      1.546396000000000  A^-1
Cl   diatomicX      Xe      0.463758000000000  dimensionless
Cl   diatomicA      Cs      1.673663000000000  A^-1
Cl   diatomicX      Cs      4.531965000000000  dimensionless
Cl   diatomicA      Ba      1.071044000000000  A^-1
Cl   diatomicX      Ba      0.160177000000000  dimensionless
Cl   diatomicA      La      0.993753000000000  A^-1
Cl   diatomicX      La      0.230203000000000  dimensionless
Cl   diatomicA      Gd      0.806810000000000  A^-1
Cl   diatomicX      Gd      0.089970000000000  dimensionless
Cl   diatomicA      Lu      2.753636000000000  A^-1
Cl   diatomicX      Lu     12.757099000000000  dimensionless
Cl   diatomicA      Hf      1.297117000000000  A^-1
Cl   diatomicX      Hf      0.706421000000000  dimensionless
Cl   diatomicA      Ta      1.608805000000000  A^-1
Cl   diatomicX      Ta      0.516413000000000  dimensionless
Cl   diatomicA      W       1.310690000000000  A^-1
Cl   diatomicX      W       0.278000000000000  dimensionless
Cl   diatomicA      Re      1.433875000000000  A^-1
Cl   diatomicX      Re      0.146319000000000  dimensionless
Cl   diatomicA      Os      1.833070000000000  A^-1
Cl   diatomicX      Os      0.327920000000000  dimensionless
Cl   diatomicA      Ir      2.009770000000000  A^-1
Cl   diatomicX      Ir      0.258916000000000  dimensionless
Cl   diatomicA      Pt      2.108526000000000  A^-1
Cl   diatomicX      Pt      0.341001000000000  dimensionless
Cl   diatomicA      Au      3.019391000000000  A^-1
Cl   diatomicX      Au      0.885574000000000  dimensionless
Cl   diatomicA      Hg      0.430731000000000  A^-1
Cl   diatomicX      Hg      0.053660000000000  dimensionless
Cl   diatomicA      Tl      0.846193000000000  A^-1
Cl   diatomicX      Tl      0.162037000000000  dimensionless
Cl   diatomicA      Pb      1.094123000000000  A^-1
Cl   diatomicX      Pb      0.164814000000000  dimensionless
Cl   diatomicA      Bi      1.272975000000000  A^-1
Cl   diatomicX      Bi      0.326871000000000  dimensionless
Cl   diatomicA      Fr      1.579660000000000  A^-1
Cl   diatomicX      Fr      0.761560000000000  dimensionless
