# . Text parameter file for the element C.

C    diatomicX      Sn      3.374355000000000  dimensionless
C    diatomicA      Sb      1.696206000000000  A^-1
C    diatomicX      Sb      0.579212000000000  dimensionless
C    diatomicA      Te      1.992816000000000  A^-1
C    diatomicX      Te      0.970494000000000  dimensionless
C    diatomicA      I       2.068710000000000  A^-1
C    diatomicX      I       0.810156000000000  dimensionless
C    diatomicA      Xe      1.704440000000000  A^-1
C    diatomicX      Xe      0.826727000000000  dimensionless
C    diatomicA      Cs      2.147104000000000  A^-1
C    diatomicX      Cs     24.514623000000000  dimensionless
C    diatomicA      Ba      0.770626000000000  A^-1
C    diatomicX      Ba      0.119793000000000  dimensionless
C    diatomicA      La      0.604869000000000  A^-1
C    diatomicX      La      0.108649000000000  dimensionless
C    diatomicA      Gd      0.446870000000000  A^-1
C    diatomicX      Gd      0.053040000000000  dimensionless
C    diatomicA      Lu      2.312813000000000  A^-1
C    diatomicX      Lu      4.453825000000000  dimensionless
C    diatomicA      Hf      1.002194000000000  A^-1
C    diatomicX      Hf      0.378579000000000  dimensionless
C    diatomicA      Ta      1.838949000000000  A^-1
C    diatomicX      Ta      0.847439000000000  dimensionless
C    diatomicA      W       2.097480000000000  A^-1
C    diatomicX      W       1.160770000000000  dimensionless
C    diatomicA      Re      2.306285000000000  A^-1
C    diatomicX      Re      0.690687000000000  dimensionless
C    diatomicA      Os      2.336500000000000  A^-1
C    diatomicX      Os      0.498410000000000  dimensionless
C    diatomicA      Ir      1.690295000000000  A^-1
C    diatomicX      Ir      0.115047000000000  dimensionless
C    diatomicA      Pt      3.306722000000000  A^-1
C    diatomicX      Pt      3.493403000000000  dimensionless
C    diatomicA      Au      4.574237000000000  A^-1
C    diatomicX      Au     21.816305000000000  dimensionless
C    diatomicA      Hg      0.795816000000000  A^-1
C    diatomicX      Hg      0.147128000000000  dimensionless
C    diatomicA      Tl      1.390345000000000  A^-1
C    diatomicX      Tl      0.582895000000000  dimensionless
C    diatomicA      Pb      1.525593000000000  A^-1
C    diatomicX      Pb      0.404656000000000  dimensionless
C    diatomicA      Bi      1.534025000000000  A^-1
C    diatomicX      Bi      0.576179000000000  dimensionless
